sat_name,t_s,x_km,y_km,z_km
ONEWEB-0012,0,925.145,1703.061,-7333.154
ONEWEB-0012,15,863.601,1618.033,-7359.881
ONEWEB-0012,30,801.695,1532.81,-7385.099
ONEWEB-0012,45,739.438,1447.412,-7408.802
ONEWEB-0012,60,676.845,1361.856,-7430.985
ONEWEB-0012,75,613.926,1276.16,-7451.645
ONEWEB-0012,90,550.695,1190.342,-7470.776
ONEWEB-0012,105,487.165,1104.421,-7488.375
ONEWEB-0012,120,423.347,1018.415,-7504.438
ONEWEB-0012,135,359.254,932.341,-7518.963
ONEWEB-0012,150,294.9,846.218,-7531.946
ONEWEB-0012,165,230.298,760.064,-7543.384
ONEWEB-0012,180,165.461,673.897,-7553.275
ONEWEB-0012,195,100.401,587.736,-7561.618
ONEWEB-0012,210,35.133,501.597,-7568.41
ONEWEB-0012,225,-30.332,415.499,-7573.651
ONEWEB-0012,240,-95.978,329.46,-7577.338
ONEWEB-0012,255,-161.793,243.498,-7579.472
ONEWEB-0012,270,-227.762,157.63,-7580.052
ONEWEB-0012,285,-293.874,71.875,-7579.078
ONEWEB-0012,300,-360.113,-13.75,-7576.549
ONEWEB-0012,315,-426.466,-99.227,-7572.467
ONEWEB-0012,330,-492.919,-184.538,-7566.833
ONEWEB-0012,345,-559.458,-269.667,-7559.647
ONEWEB-0012,360,-626.069,-354.595,-7550.911
ONEWEB-0012,375,-692.739,-439.306,-7540.626
ONEWEB-0012,390,-759.452,-523.781,-7528.796
ONEWEB-0012,405,-826.196,-608.003,-7515.421
ONEWEB-0012,420,-892.956,-691.956,-7500.506
ONEWEB-0012,435,-959.717,-775.622,-7484.052
ONEWEB-0012,450,-1026.466,-858.984,-7466.064
ONEWEB-0012,465,-1093.189,-942.026,-7446.544
ONEWEB-0012,480,-1159.87,-1024.73,-7425.498
ONEWEB-0012,495,-1226.495,-1107.079,-7402.929
ONEWEB-0012,510,-1293.051,-1189.058,-7378.841
ONEWEB-0012,525,-1359.523,-1270.65,-7353.24
ONEWEB-0012,540,-1425.897,-1351.837,-7326.13
ONEWEB-0012,555,-1492.157,-1432.605,-7297.518
ONEWEB-0012,570,-1558.29,-1512.936,-7267.409
ONEWEB-0012,585,-1624.281,-1592.815,-7235.809
ONEWEB-0012,600,-1690.116,-1672.226,-7202.725
ONEWEB-0012,615,-1755.78,-1751.152,-7168.163
ONEWEB-0012,630,-1821.259,-1829.579,-7132.13
ONEWEB-0012,645,-1886.538,-1907.49,-7094.634
ONEWEB-0012,660,-1951.603,-1984.87,-7055.682
ONEWEB-0012,675,-2016.44,-2061.705,-7015.282
ONEWEB-0012,690,-2081.034,-2137.978,-6973.443
ONEWEB-0012,705,-2145.37,-2213.675,-6930.172
ONEWEB-0012,720,-2209.434,-2288.78,-6885.479
ONEWEB-0012,735,-2273.212,-2363.28,-6839.373
ONEWEB-0012,750,-2336.69,-2437.16,-6791.862
ONEWEB-0012,765,-2399.853,-2510.405,-6742.958
ONEWEB-0012,780,-2462.687,-2583.0,-6692.668
ONEWEB-0012,795,-2525.177,-2654.933,-6641.005
ONEWEB-0012,810,-2587.309,-2726.188,-6587.978
ONEWEB-0012,825,-2649.07,-2796.753,-6533.598
ONEWEB-0012,840,-2710.444,-2866.614,-6477.876
ONEWEB-0012,855,-2771.419,-2935.756,-6420.824
ONEWEB-0012,870,-2831.979,-3004.167,-6362.453
ONEWEB-0012,885,-2892.111,-3071.835,-6302.775
ONEWEB-0012,900,-2951.801,-3138.745,-6241.802
ONEWEB-0012,915,-3011.035,-3204.885,-6179.546
ONEWEB-0012,930,-3069.799,-3270.244,-6116.021
